,,actual,prediction,teks
33,,0,1,keren semua hny tuhan tentu takdir telah tulis bagi kita adalah berikhiar doa
34,,0,-1,ya anda sudh temak hoax ahoker
35,,0,-1,mngkn dia banyak kenal sales properti kali
36,1,-1,0,jangan hanya omangan dana buat mana belum pula dp rumah tidak mau nambahin utang
37,,-1,0,tepat malu dunia didik telah besar nama
38,,-1,0,sbgaian ibu jgak bawa dampak ingin laku curang
39,,0,-1,terus ngapain km bilang tugas lembaga km sudah tau jwbn aazzz
40,,0,-1,kluarga utama brow
41,,0,-1,trlalu simple uda tgas msing lmbaganya
42,,-1,0,sudah kebelet gubernur shg esensi prtanyan tidak t rjawab kebelet
43,,0,1,sungguh asli gubernur dki
44,,-1,0,pas doi ngomg gtu ngakak bapak aniessandi sedudul ya
45,,-1,0,apa wewenang hukum gubernur kam kuhp asal nhomong
46,,0,-1,pssssst cuma buat paslon
47,,0,1,makasih buat terjemah bapak ayo kita fokus kerja kerja kerja
48,,0,-1,warga jkrt tau mn bs mimpin jkrt kamu cmn ngeramaikan ade balon gubernur
49,,0,-1,katane tidak nyangkut pilkada mbok yao ikut diri tidak campur politik l
50,,-1,1,maaf track record tidak bohong saya pilih bersih
51,,0,-1,maklum boss
52,,1,0,bagaimana bs pemimpin rangkul smua kl beda agama beda suku sudut kampanye
53,,1,0,semoga masuk putar bapak putar suara gabung paslon siapa masuk paslon atau gbg
54,,0,-1,ucap apkh bakal pake atur tuhan
55,,0,-1,cuma jwban blg gtu tidak real tidak smudah orang pcandu
56,,1,0,jakarta semua jangan kotak kotak jangan mau kotak kotak
57,,0,-1,sara mana
58,,0,-1,nonton orasi habib rizieq
59,,0,1,bapak ahokdjarot boleh datang
60,,0,-1,emng gtu tidak tau ortunya kaya tanya lp bnyk tu cuma pmakai emangny kamu pmakai
61,,-1,0,pernah urus imb pasti erti nista nabrak izin reklamasi
62,,0,1,lucu bapak
63,,0,-1,tahu tidak omong sprt medsos benar jika benar anda
64,,1,-1,tuhan tidak putar pertama gusur hal gusur warga
65,,0,-1,debat semua paslon telah baik kurang debat belum
66,,0,-1,apa bukan nista agama nama
67,,-1,1,maaf bapak seperti saya harus move on saya dulu kagum bapak sekarang entah
68,,-1,0,bapak aniessandi aniessandi php pintar olah kata dp rumah tipu
69,,0,-1,bapak sudah omong beh bikin leleh
70,,0,-1,jangan beli kucing karung sudah pasti
71,,0,1,mantap bapak
72,,-1,0,tidak cocok sales oce oyes
73,,0,1,ya benar bapak bagi besar warga jkt datang karyawan maupun dagang ya spt saya
74,,0,1,tetap tidak
75,,0,1,masih timbang salam bln nominal konsisten gtu pan
76,,-1,0,mw bwt kpr mw bikin perban ancur kredit macet
77,,0,-1,bukti brarti bukan fitnah
78,,0,-1,kl byk hutang budi gubernur baru kasih apa ama jkt tidak mlh sibuk balas budi
79,,-1,1,bukti berik info sesat rakyat
80,,0,-1,bg aniessandi jangan sampai mata sipit kuda nanti bagaimana nasib asli betawi jakarta
81,,1,-1,tidak hoax tidak sara issue n demo semoga tuhan brsama paslon trbaik mnurut
82,,-1,0,bapak dp rumah ibu sri mulyani ngamuk npl kita sudah cukup tinggi boro mau investment grade turun rating
83,,0,-1,ya dki bs tenggelam oleh kaum urban demi
84,,-1,0,data seluruh indonesia bapak dosen bapak lbh bagus
85,,0,1,masih satu gerbong satu masinis masinis sibuk tuuwwwiiitt tuuuwwiiit
86,,1,0,akhir paslon turut saya paling unggul debat tadi mahir rangkai kata kalimat sejuk dengar
87,,0,-1,hapus komennya takut tidak bayar
88,,0,-1,mrk sllu blg hrs santun debat tidak etika mnyerang personal bukan substansial program
89,,0,-1,alokasi dana didik apbd dki paling tinggi se indonesia gara mantan mendikbu
90,,-1,0,napsu gubernur mlanggar atur
91,,0,-1,kasih paslon tidak ky murid jewer guru ska mat
92,,-1,0,program sekal tidak laku fakta ilmiah jebak rakyat
93,,0,1,bgitupun sbaliknya tuhan maha asyik paham betul ktika takdir nanti tidak ssuai
94,,1,0,apresiasi jawab ttg lebih calon lain perfect answer hrs aniessandi baik tanya bukan ttg program
95,,0,1,ingat gubernur adlh ayan masyarakat hrs rela waktu tenaga pikir rakyat
96,,0,-1,jangan buruk sangka bapak tanya panitia bukan guna twitter
97,,0,1,semua kembali rakyat dki sapa pemimpan pantas maju jakarta
98,,1,-1,jika pilih jangan kecewa warga jakarta
99,,0,-1,tema lindung anak
100,,-1,0,sampah lo jawab berapa gede pengaruh im data kasih data gausah ceriwis
101,,1,0,sptnya bapak sbg orang didik hrs ajar kpd soal konsisten integritas
102,,-1,0,sajak nyanyi bapak
103,,0,1,bro mantap legalisasi ganjo ancur fef
104,,0,1,pasti rebut jakarta
105,,0,-1,bapak suatu katak bukti klau sudah realisasi klau belum realisasi bukan bukti nama
106,,0,-1,om tante
107,,0,-1,sudah lihat belum ya paling mingkem
108,,1,0,kurang tutup begitu balik paslon lengkap
109,,0,-1,bapak temennya skrang fpi pks ya wajar kamu jngan ikut ya
110,,0,1,suudzon tidak baik bapak
111,,0,-1,abang mau tanya kata bapak ahokdjarot bapak pecat menteri tidak sinkron program beiau terus ibu puan bagaimana
112,,0,1,selamat tanding abang bapak abang selamat juang jkt
113,,0,1,coblos tidak ya
114,,0,1,dulu kerjax tanpa pamrih sekarang imbalanx tanpa kerja
115,,-1,1,sudah tidak senjata saing sehat penting menang ya bapak martabat
116,,0,-1,kontestasi pilkada dki ungkap jatidiri selalu sembunyi balik kata manis
117,,-1,0,makanya dosen semua porsi masing
118,,0,1,bener bukan kota ramah koruptor
119,,-1,0,saat umpama diri umar dia sdg tunjuk bahwa tidak cukup punya percaya diri kenal diri sbg diri
120,,1,0,apa pokok oce wkakakakakak
121,,-1,0,obral janji
122,,0,1,aniessandi raih simpati fakta tidak besar lebih bapak
123,,-1,1,makanya henti bapak jokowi program bagus cuma kertas asli saya kecewa luar biasa sm bapak saya
124,,0,-1,bapak omong masyrkt dki mw pempimpin baru bapak aniessandi sm pendukungny y omong
125,,0,-1,ya umpaan sadis bgt ngenak banget
126,,0,-1,tuju klau tidak masalah pasti menteri tidak ganti ya bro
127,,0,-1,kog ya tiap tidak bicara pas hilang melulu
128,,0,-1,thn mo baru bukan anda ya
129,,0,-1,artis pandai tanpa uang pilih lain dpt bayar
130,,0,-1,tidak santun closing time bukan minta restu dukung do malah bully ber etika
131,,0,1,periode putar
132,,0,-1,dulu waktu menteri solusi bagaimana bapak realisasi tidak
133,,0,-1,mana bukti omong drtd salah ketik seword kali emang seaworld
134,,0,1,ubah bukan rubah
135,,0,-1,waspada ktp palsu impor gagal bea cukai
136,,1,0,allahu akbar closing statement luar biasa ya rabbal alamin
137,,0,-1,emang apa salah boss kampanye masih sah wong belum masa tenang
138,,0,-1,cuma paling kesan buat saya debat kemarin
139,,0,-1,acara agama islam ya pantes doa cagub islam kampabyenya mana
140,,0,1,sejak zaman rasulullah sahabat politisasi agama politisasi tingkat tinggi maslahat masyarakat tidak spt skrng
141,,0,1,paling penting balik peci jujuran bangsa tidak kurang pemimpin pintar kurang pemimpin jujur
142,,-1,0,mungkin ya bukan janji rumah dpnya rp belakang nabung bln marketing boongan
143,,0,1,jangan mudah suudzon tuhan sll lindung umat ibadah maha tau apa benak umat
144,,0,-1,naon saya suka jokowi bot sok tau
145,,0,-1,bot jokowi iya gpp dia presiden saya elo presidenya sapa
146,,0,-1,tidak papa daripada twitter bot jokowi
147,,0,-1,cewek sudah tidak cantik agak tidak pinter pula
148,,0,1,anak muda sedih
149,,0,-1,carmuk rakyat dia pikir bilang soal rakyat otomatis rakyat pilih dia
150,,0,1,krna lebih senang joget ktimbng ibadah btul om
151,,0,-1,engga abang makasih kami mau mancing laut tidak percaya kolam kalian cukup ikan buat semua
152,,0,-1,atau dulu kita lugu sekarang tidak lugu
153,,0,1,ya coblos peci
154,,0,1,cum ganteng tidak ahokdjarot jarot saling lengkap
155,,0,-1,saking takut kalah mereka dah tidak tau bagaimana cara kalahin suara pemilih ahokdjarot
156,,0,-1,biasa abang kristen nyali ya seperti susah lihat orang senang
157,,0,-1,sudah ln beneran tul tidak oom abang bro sby mbak
158,,0,1,tinggal ntt sok coblos tidak berak hahahaj
159,,0,1,bapak seluruh dukung kece keceh
160,,0,1,daun jatuh sudah atur oleh tuhan apalagi gubernur legowo
161,,0,-1,kalian tidak usah ribut tinggal lihat hasil semua sudah atur allahswt
162,,-1,1,tlh kotak jkt jkt hanya milik orang islam jgan harap gubernur dki
163,,0,-1,saya mau tanya and hitung perumajan dp matematika anak
164,,0,-1,segala cara laku aparat sebelah rezim kodok menang tahana ber mulut najis awas pantau
165,,0,-1,suara fpi mrk bagi
166,,0,-1,apakah sekolah jam skrng ajar sprti skrng fobia luar biasa
167,,0,-1,gubernur sudah bilang dia ayan warga jkrt dia relokasi bukan pnggusuran sprti gubernur sblm jokowi bung
168,,0,-1,serius bos bener tidak wonder ya
169,,0,-1,tidak salah mbak lama tidak bentur wajib orang lain
170,,0,-1,asoyyy awas mantan baper
171,,0,1,tanpa apbd km kerja tidak bapak bikin saya heran rumus sederhana bapak
172,,0,-1,seperti tawa tawa mata merah
173,,0,-1,bagaimana to mo tidur malah ngakak baca tuit mbake ganjaaa mbak bukan ganjarrr
174,,0,-1,gila saya pikir malam malam orang goblok sudah merem
175,,0,-1,tahu lo minim dasar anak bandar
176,,0,-1,ganja cara hukum bukan trmasuk narkoba terus ngapa campaign soal legal ganja
177,,0,1,pilih fpi ahokdjarot ahokdjarot pilih islam krisiten hindu budha dll
178,,0,1,saya suka bapak presiden skrng maaf ya bapak
179,,0,-1,balik kampanye jam dulu barbar
180,,0,-1,beda ganja narkoba tolol
181,,-1,1,hanya ingat umat muslim agar pilih pemimpin muslim bukan sipenista agama
182,,0,1,tuhan mimpi saya nyata
183,,0,1,tuhan maha tahu takdir baik maka dia
184,,-1,0,depan bagai malaikat dalem jahat n licik
185,,-1,0,ahli gagas ahli imajinasi cucok banget
186,,0,-1,pantas blang kayak gtu xinxin nie cina
187,,0,-1,serang minyak
188,,0,1,banyak mau pasti
189,,0,1,islam rahmat bg semesta alam bukti th r merdeka agama lain aman
190,,0,-1,tidak mungkin terima kalah
191,,0,-1,debat akhir kemarin intunya mau ganda kyk taat pribadi ya apa mau ganda ya
192,,0,-1,dukung paslon mana ayo ngaku
193,,0,-1,arti niat datang situ ya
194,,0,1,bapak aniessandi tidak konsisten konsisten pasti terus jalur didik
195,,-1,0,balikin modal pake oce sementara cukup modal pinter omong lengkap ya om
196,,0,-1,habis pilkada jamin tidak bakal aksi bela negara atau agama
197,,0,1,kita tinggal tunggu ridho tuhan kemudian rangkul semua warga jkt maju bahagia tuhan maha kuasa
198,,0,-1,tidak mungkin dikit bakal ngaku tuhan ni tau hati orang
199,,0,-1,pakai cuma pas mau nyalon gubernur lihat tu foto profil gundul
200,,0,-1,tuan peliaraannya doyan fitnah
201,,0,-1,dia plg rasa mampu berlaku adil tobat calon pemimpin telah buat karma begitu berat jalan
202,,1,-1,iya pilih tidak bukan pengahapal atau penghayal
203,,1,-1,maka pilih paham berani tolak reklamasi ayo wit
204,,-1,1,kita kerja untung koruptor abang aniessandi
205,,0,-1,demo provesi mau apa tar
206,,-1,0,cinta curang apalagi pilkada
207,,-1,0,ngebayangin paslon musuh mereka menang kerasan bingkai curang modus
208,,-1,0,jujur kl banding lbh kapabel aniessandi bicara memang aniessandi juara kosong lompong
209,,0,-1,bongkar bobrok jokw bapak aniessandi
210,,0,-1,tidak bakal jawab
211,,0,-1,jelang hari nyebar hoax
212,,-1,0,saya bingung masak kayak gin buat kampanye coba cerdas sedikit tanpa dp sampai rumah gratis
213,,-1,0,bagaimana adil buat jakrta milik semua warga masih percaya kerja ormas fpi
214,,0,-1,omong boleh bung
215,,-1,0,sakit sidang adil pakai baju putih peci bapak mereka dadak alim
216,,-1,0,bapak mikir gaji ump nabung bulan nabung berapa apalagi sudah punya keluarga
217,,0,-1,dah tidak mesiu nembak kehebatanya atau ajar dia
218,,-1,0,bapak tausiah boleh apakah bijak selalu nyinyir paslon lain istigfar bapak
219,,0,-1,goyang terus mumpung belum kena stroke
220,,0,1,tuhan mufakat calon calon gubernur jakarta senggol
221,,0,1,jakarta milik semua arti semua punya sempat gubernur bapak
222,,-1,0,benar tidak benar arti data tidak valid
223,,0,1,tidak saya lebih mantap
224,,0,1,kerja tim sukses
225,,0,1,tuju abang
226,,0,1,mantap broh broh
227,,0,-1,ora mudeng apa hubungane ganteng karo pilkada yo bapak
228,,0,-1,adil tidak gusur bukit duri kemudian gusur kalah rakyat tingkat banding
229,,0,1,sayang coblos tidak pake ya nomer
230,,-1,1,stidaknya kmi imani tuhan satu tidak anak tidak anak
231,,0,-1,sejak calon gubernur
232,,1,-1,jangan lupa nomor tebar janji belum bukti
233,,0,1,urus kerja resin jakarta bapak
234,,1,-1,bukan kampanye syiar islam bego pelihara muslim harus dimimpin muslim
235,,-1,0,bagaimana bapak baru urus kip aj tidak becus jakarta lbh kompleks bapak
236,,0,1,bapak peci lambang gerak muslim r maaf tidak pakai sembarang orang
237,,0,1,paling hansome
238,,0,-1,rasa takut tlh buat mrk satu takut bila tidak kuasa atau takut modal sudah tekor
239,,0,-1,abang tidak kalah ganteng
240,,0,1,waini wajib baca semua fans dukung
241,,0,-1,mesjid jgnupolitik
242,,0,-1,sara pol bungkusaq
243,,0,-1,dakwah sara pol
244,,0,-1,modalin sbt tentu
245,,0,-1,abubakar orang cara total serah hidup demi islam apa spt siap lepas seluruh harta
246,,0,1,terus
247,,0,-1,ba atnya cuma tidak sebut muslim
248,,1,0,serba sudah jenius bersahaja pula sholat lima waktu duha lancar dermawan pula paket lengkap aniessandi aniessandi
249,,1,0,agama adalah kunci utama hal didik semoga abang bapak mampu menrapkannya
250,,-1,0,skenario belum bunga loo oce jangan tipu rakyat abang
251,,0,1,kami warga jkt sungguh rindu pemimpin kerja cinta bukan huru hara smg tuhan meridhoi ingin kt
252,,0,1,trotoar keren ya jes
253,,-1,0,paling saya tunggu adlh sikap setelah pilkada dki usai apalagi kl mereka kalah
254,,0,-1,radio followernya banyak dukung maka
255,,-1,0,calon pemimpin masa depan perempuan hrus pukul benar
256,,0,1,kun fa yakun atas izin tuhan bukan izin habib aplg survey menjdkan anda sbg pemimpin jakarta
257,,0,1,masya tuhan statement indah pulang semua atas hendak tuhan
258,,0,1,media lawan nyata dukung tetap ngapain pilih lain
259,,-1,1,makasih bapak aniessandi saya tidak tarik
260,,-1,0,mengatasnamakan agama besar kasus besar
261,,0,1,urut coblos tidak buka tidak ambil paku tidak coblos peci
262,,0,1,adalah trend baik buat abang menang
263,,0,1,kaya gin tidak pernah sbg prestasi bapak
264,,0,-1,gara pilkada dki ide anak skul bandel tidak blh do kata kyk anak sndr padahal biasany lgsg do
265,,0,-1,rasa kafir lgsg nyamber
266,,0,-1,emang santun sudah hilang
267,,0,-1,nama santun
268,,0,1,banyak sekal buzzer mention bapak sabar ya bapak mereka mungkin iri bapak
269,,-1,0,tiba relijius lupa makna relijius sendiri
270,,0,-1,syurga orang panatik bukan politis munapik mingken atas kerasan wartawan
271,,0,-1,tidak maen
272,,0,-1,makin panas jangan obral janji ahokdjarot lontar serang tajam paslon dki nomor urut tiga
273,,-1,0,soal bullying sekolah mk saya bertanya apa anda laku sbgai menteri tidak dampak bijak anda
274,,0,-1,maling koruptor pake peci
275,,0,-1,maklum nama jual kudu yakin urus jual bagus belakang
276,,0,-1,jabat baik hati niat korupsi sering tangkap kpk
277,,0,-1,nyata kampanye selubung paslon ya
278,,0,-1,padahal nyindir ahokdjarot mulu omong kasar ama perempuan abang bapak massa sekutu mu
279,,-1,1,maaf bapak pemimpin bukan hanya lihat peci apa sudah dia buat masyarakat jangan seperti mkn prmen karet
280,,0,1,tuhan semangat peci jakarta jayakarta fathan mubiina
281,,0,-1,walau jual sara
282,,1,0,percaya aniessandi dibutuhin jakarta
283,,0,1,massa akhir ubah drastis dukung lewat dukung pemilihnya gereja korban mimpi besar
284,,0,-1,rezim jungkir balik bagus pecat jelek tah puan bagus
285,,0,-1,colek den dek om sby
286,,1,0,ruar biasa pokok mantapks
287,,1,0,semoga contoh psngan lain
288,,0,-1,mereka datang panggil iman
289,,0,-1,iya jangan suruh depe telanjang ya leceh perempuan
290,,0,1,mantap tugas pemimpin adalah buat bijak adil jakarta bukan milik cont
291,,0,-1,jiahahaaa nyindir
292,,-1,0,inti haram pilih non muslim
293,,0,-1,paslon bersangkutab diem waduuuh
294,,0,-1,jakarta milik smua bhineka tunggal n pancasila harga mati n agama jangan alat politik busuk dmi kuasa
295,,0,1,mah memang ahli bapak percaya saya bakal top
296,,0,-1,boleh mimpin cuma muslim shame on mr
297,,0,-1,semua pakai apalagi saat pilih muslim kdi bingung mana ukhuwah sdg lain lebih nyantri
298,,0,-1,bagus pimpin bangsa sendiri orang asing
299,,0,-1,kecuali beda agama bagi anak agama minoritas ajar situasi sekarang henti mimpi gubernur dki
300,,0,-1,dakwah selubung
301,,0,-1,modus
302,,0,-1,syng bnyk pjbt tidak mau ayan rakyat mlh curi uang rkyt
303,,-1,0,citra agar anggap sholeh
304,,0,-1,calon lulung atau ahmad dhani masuk akal kalian ragu sudah muslim bagus kalian masih ragu
305,,0,-1,ajar dulu kayak gin ya jangan citra
306,,0,1,kepada bapak presiden kapolri bapak ahokdjarot tidak hati butuh sandang disabilitas ya m
307,,1,0,barokallah yakin menang prof
308,,0,-1,anda omong
309,,0,1,saya sangat rindu bapak aniessandi menteri
310,,1,0,adalah harap seluruh masy dki jakarta ingin ubah
311,,0,1,pilih masyarakat jakarya
312,,-1,0,jangan pilih mereka akrab fpi
313,,-1,0,makanya tidak jawab rumah tanpa dp mana lokasi izin menpera perban bagaimana bullshit
314,,0,-1,weleh weleh takut kalah banget
315,,-1,1,lebih baik laku benar daripada omong benar tanpa laku
316,,0,-1,kata mau buat dki ramah kog marah belum kasih
317,,0,-1,geti kenapa tidak jihad lawan isis cemar agama islam
318,,0,-1,demo bakal bingung ndemo ahokdjarot ato ndukung ketua
319,,0,-1,ngaku islam kalung gede gaban mana mukmin kalong gede gaban
320,,0,-1,islam sungguh mrngerikan
321,,0,-1,sering salah data serang personal beda level
322,,0,-1,salam gusur
323,,0,-1,bapak jangan terus terus buat gaduh sby diam
324,,0,1,bapak bapak lumayan so so charming pasti cuma bapak ahokdjarot pasang bapak
325,,0,-1,sumpah keget saya nonton vidoe akhir kaya ngeliat mahluk galak
326,,-1,1,memang tidak cerdas
327,,0,1,dasar foto mah saya yakin menang putar
328,,0,1,doa dukung
329,,0,-1,om lol om
330,,0,-1,copot copot copott
331,,-1,0,janji dp nol kredit rumah emang bank atau leasing mana berani kasih kredit dp
332,,0,1,memang sudah bukti bukti sangka
333,,0,-1,aniessandi bicara betul kridit rumah kasih uang muka tidak mau minta uang rupiah samadolar
334,,0,-1,tutup mata
335,,-1,1,ganteng tidak kerja suai kerja ya ampas abang
336,,0,1,coblos
337,,0,-1,selain parpol dukung paslon now jkw mendagri ahokdjarot putar lo mau protes egp kawal kpu jkt
338,,-1,1,se mbatere kl orngpurabaik kpepet keluar aslijahatnya kl orngbaik ahokdjarot pepet tetap baik
339,,-1,0,oce curang
340,,1,0,coba timbang bapak semoga hati ya
341,,0,1,sabar ya abang abang
342,,0,-1,cak nun jangan pilih gubernur mulut bensin
343,,0,-1,apa super qurban paslon ya begini cara dia
344,,0,-1,rijiker omong sopan santun ckckck hebaaat
345,,1,0,muslim dki bangga nyoblos peci rabu nanti
346,,0,1,kerja nyata jakarta guyur ujan dah minggu tidak bancir kasih suka mandi banjir tidak
347,,0,-1,pantas bicara kebhinekaan
348,,-1,0,masa tenang tau atur tidak kamu saya tau maksud elu ruang pblik tidak ckp ape bln kmpnye
349,,-1,0,subhanallah ustadz kya gtu urus ngajak perang mah
350,,0,-1,kasih bro doi nyari kerja klw tidak gtu tidak tau mau krja apa
351,,-1,1,nama kompak jatuh ahokdjarot klau menang dki bagi dua
352,,0,-1,ahokdjarot umpama pion pion nda makan bagaimana mau skak mat raja
353,,0,-1,jual pisang jual pisang
354,,0,1,posisi gubernur sudah depan mata kuat masa rakyat mnginginkan ubah sudah tidak bendung
355,,0,-1,rakyat nkri sudah cerdas tidak mudah hasut provokasi jangan sok nkri
356,,0,-1,dukung santun cagub jihad semprul dai
357,,0,1,memang politik kejam penting menang
358,,0,-1,kita tidak usah debat agama kita debat jago
359,,-1,0,selalu blg debat kata penting pemimpin malah kata sekarang mnjd boomerang sndri
360,,-1,0,mereka seperti timteng tidak kenal damai
361,,-1,0,oce mimpi
362,,0,-1,kalian bukan bangun manja
363,,0,-1,orang tato lebih layak dengar fpi apalagi
364,,-1,0,bapak lamis tenun bangsa hanya dagang dusta nderek mulyo rapat fpi
365,,0,-1,dukung baru omong detik jantung mau copot coba bro lihat video
366,,0,-1,rangkul orang kecil iya bukan rangkul koruptor bos
367,,0,-1,agar anda maklum agama rusak otak manusia
368,,0,-1,dollar sahal dah nipis harus tebar benih dulu transfer
369,,0,-1,bagai asuh pesantren anda adalah bangsat usak otak santri
370,,0,-1,kita tidak usah ikut ustadzx mikir dunia n nafsu syahwat kita jalan suai qur an n sunah rosul pilih ahokdjarot
371,,0,-1,ngapain unggah bung
372,,0,-1,bangsat ulama atau ustadz hidup nyaman dusta mereka
373,,1,0,jakarta butuh abang abang
374,,0,-1,aniessandi jangan coba coba laku serang fajar jangan orang kamu laku serfa
375,,0,-1,salah dusta fitnah siapa dusta fitnah
376,,0,1,ya tuhan lindung para ulama kami
377,,0,-1,erik sekal ya kamu apa kamu suka
378,,0,1,saya tuju mereka allepo bela muslim sana
379,,0,-1,banyak coannya main
380,,-1,0,makan gergaji orang kiri kanan
381,,0,-1,tidak ngerti n n ibu silvy
382,,0,-1,maklum sebelah duit hasil korup sngt bnyak
383,,0,1,turut benci islam kami muslim sgt cinta ulama
384,,0,-1,hmmm peting ambisi pribadi kdg mmg bs alah prinsip konsistensi sikap bukan bgtu bapak
385,,0,-1,santai panji lulus akdemik awak agussylvi militer cagub
386,,0,-1,orng jihad tuk politik tu ustadz tukang kawin
387,,0,-1,iklan paslon cagub apa iklan sedot wc
388,,0,-1,kata santun kenapa bentak apakah punya pribadi ganda
389,,0,-1,ngagetin kamu tong
390,,0,-1,kasihan umat punya ustad macam gin panas melulu
391,,0,1,kaget saya dukung santun
392,,0,-1,emang tetangga sebelah harus pake bantu robot
393,,0,-1,ema stress dia
394,,0,-1,rumah tahan
395,,0,-1,kenapa tidak laku ya banyak nunggu
396,,0,-1,rem
397,,0,-1,dengar jilat jidat sikat silat
398,,-1,0,bagi kampanye n gpp mereka mayoritas kubu ahokdjarot bru mslah
399,,0,-1,pecat apa contoh jonan tidak paham energi malah esdm
400,,0,1,emang rakyat muslim semua
401,,0,-1,yaelah np ya skr mlh cagub gerindra prabowo nyata idealisme bapak aniessandi hancur oleh goda kuasa
402,,0,-1,biasa banyak omong sedikit buat
403,,-1,0,belum cagub sudah main suap bagaimana bersih
404,,0,-1,mbok yao modal to pakdhe mosok th mung diksh minyak ampun pakdhe behahahaha
405,,-1,0,pasang nomer tiga kompak banget ngeboongin publik bagai bekas didik bapak harus malu
406,,-1,0,jk teknik editing video hina cerca maki mngkin ahokdjarot perlu tambah awal
407,,-1,0,benar bapak henti tidak becus info temen saya begini
408,,0,1,tidak jauh beda lama jalan kepentinganny buruk mnjadi baik baik bis
409,,0,-1,larang timsesnya tempel stiker tanpa izin rumah warga pohon
410,,0,-1,larang laku serang fajar kyk gin
411,,0,-1,jurnalis aniaya biadab
412,,0,-1,brarti makin buruk kaya bgni mah
413,,-1,0,abang kerja apa ya
414,,0,1,bapak paling jago nelikung kasih bapak
415,,0,-1,kena stroke pdi yank demo depan rumah sby bapak kuwalat
416,,0,-1,manusia ubah waktu waktu bsa baik atw mlh makin buruk ahlakny
417,,0,-1,berani rame
418,,-1,0,jihad bela penting kelompok saudara jihad mcm apa pahala apa kalian harap
419,,0,-1,jualin rezim edan
420,,0,-1,dulu gubernur muslim
421,,0,-1,makan omong sendiri agussylvi
422,,0,-1,kaget saya anjriitttt lo ham
423,,0,-1,demi bahan bakar buat alphardnya om semua hanya uang
424,,-1,0,timses ahokdjarot mndadak jilbab walpun imanya beda
425,,0,-1,kata intelek main begini bagaimana
426,,0,-1,apa mereka sombong
427,,0,-1,ahokdjarot peci lo diem kank
428,,0,1,biasa orang aniaya dapat limpah berkah tuhan
429,,0,1,jabat gubernur buat ubah
430,,0,-1,ustad kopet
431,,0,-1,jihad bapak mu tangkap polisi nangis kamu
432,,0,1,nikmat hasil karya ahokdjarot ahokdjarot mereka memang luar biasa ya bapak
433,,0,1,coblos dapat minyak ya
434,,0,1,mpok silvy ganteng maksimall bapak
435,,-1,0,tidak relevan lihat niat sekal bapak sahal
436,,0,-1,gih
437,,-1,1,kami butuh pemimpin komitmen konsisten bukan bunglon colek
438,,0,-1,pantesan rijik kena ambiyen
439,,0,-1,main kotor
440,,0,-1,apakah benar ucap anda bapak waduh tidak malu gelar bapak bejibun luar neger
441,,0,-1,kaget saya pas ending sial
442,,0,1,kami jujur kmrn acara doa dzikir kami lemah lembut tidak aniaya wartawan
443,,0,-1,astagfirullah kaget gua gua kira bom ntar panggil bapak pulisi mewek kyk rijik
444,,0,-1,pantes banci tukang gertak cuma brani kroyokan n mukul cewek geng banci
445,,0,-1,heran saya kenapa banci smua nama cewek smua ya aniessandi cewek marifini cewek
